model,granularity,subset,bits,mse,rmse,mae,r2,nz_mae,ny_mae,mse_fp32_table2,mse_baseline_measured,delta_mse_vs_table2,delta_mse_vs_measured,delta_mse_pct_vs_measured,delta_nz_mae_vs_measured,delta_ny_mae_vs_measured,weight_mean_rel_l2_err,weight_max_rel_l2_err,weight_max_abs_err,n_params_quantized,n_tensors_quantized,direction_norm_mean_dev,params,space,n_test_samples,wall_clock_sec,precision,gpu
s4_concat,per_channel,B,6,10.203237475835081,1.5974368004835524,1.013047871123487,0.9960719429662968,0.007872686865337089,0.0030103528380220064,10.232754160949133,10.21053228048407,-0.02951668511405181,-0.007294804648989128,-0.07144392132163446,9.54615380482568e-06,-2.5708408271430706e-06,0.005456487499307491,0.005678111103809846,0.020306766033172607,16384,4,0.004935139012820223,320645,physical,79829,27.48148465156555,fp32,NVIDIA RTX A4000
s4_concat,per_channel,B,4,10.192394191132228,1.597828610229721,1.0140271185936958,0.9960432136796268,0.008089512112001658,0.0030216370990098626,10.232754160949133,10.21053228048407,-0.040359969816904595,-0.018138089351841913,-0.1776409775081971,0.000226371400469395,8.713420160713116e-06,0.022776100708754646,0.023824433795711,0.08484569191932678,16384,4,0.004824466921251518,320645,physical,79829,27.496039867401123,fp32,NVIDIA RTX A4000
s4_concat,per_channel,B,2,10.841648237882367,1.645100593901692,1.0618194316347174,0.9959005063056386,0.00908062226499048,0.003092411936515453,10.232754160949133,10.21053228048407,0.6088940769332343,0.631115957398297,6.181028961678934,0.0012174815534582162,7.948825766630361e-05,0.1154752901725763,0.1207286446556668,0.42823362350463867,16384,4,0.006024510743446967,320645,physical,79829,27.45366144180298,fp32,NVIDIA RTX A4000
s4_concat,per_channel,C,8,10.219402197595823,1.5986726793248756,1.0142669782292484,0.9960706937503965,0.007864867522019923,0.003009579869302501,10.232754160949133,10.21053228048407,-0.013351963353310126,0.008869917111752557,0.08687027148140061,1.7268104876601298e-06,-3.3438095466483027e-06,0.003551351415679433,0.003812651725549277,0.009899616241455078,32768,8,0.004988000238147546,320645,physical,79829,27.489168405532837,fp32,NVIDIA RTX A4000
s4_concat,per_channel,C,6,10.197292391044625,1.5970892777777768,1.0121410598824858,0.9960625616800749,0.007826668728773852,0.003028108412141555,10.232754160949133,10.21053228048407,-0.03546176990450789,-0.013239889439445207,-0.12966894453437366,-3.6471982758410834e-05,1.5184733292405647e-05,0.014311334675532124,0.015205398668407566,0.03956246376037598,32768,8,0.005017847486408484,320645,physical,79829,27.530784130096436,fp32,NVIDIA RTX A4000
s4_concat,per_channel,C,4,10.40549245086248,1.6151715175284072,1.0305146443042303,0.9960124137157885,0.00785876119027724,0.00300889655738974,10.232754160949133,10.21053228048407,0.1727382899133474,0.19496017037841007,1.9094026150923369,-4.37952125502232e-06,-4.0271214594095675e-06,0.05985004713355554,0.06436075755175745,0.15922409296035767,32768,8,0.005349540732892259,320645,physical,79829,27.50297737121582,fp32,NVIDIA RTX A4000
s4_concat,per_channel,C,2,43.774480623900104,3.1901128917084893,2.4419421117122635,0.9918891799491754,0.019048386821561923,0.00445571175186919,10.232754160949133,10.21053228048407,33.54172646295097,33.56394834341603,328.7188896857863,0.01118524611002966,0.001442788073020041,0.29955574378230365,0.32031787167316267,0.833398163318634,32768,8,0.028651552750901806,320645,physical,79829,27.510008096694946,fp32,NVIDIA RTX A4000
s4_concat,per_channel,A+B+C,8,10.158668523525964,1.5957981031806077,1.0165362865971486,0.9960313422787564,0.008100930563325724,0.003072968367017302,10.232754160949133,10.21053228048407,-0.07408563742316865,-0.05186375695810597,-0.5079437147193189,0.00023778985179346082,6.0044688168152654e-05,0.002379238807648004,0.003812651725549277,0.18853759765625,81920,20,0.005009880774845826,320645,physical,79829,27.447651386260986,fp32,NVIDIA RTX A4000
s4_concat,per_channel,A+B+C,6,19.215273019512175,2.1475996596682876,1.5679019966559775,0.9949732370521094,0.011295650463700287,0.0036876459003000526,10.232754160949133,10.21053228048407,8.982518858563042,9.004740739028104,88.19070829675884,0.0034325097521680243,0.0006747222214509032,0.009581464223363081,0.015205398668407566,0.7808609008789062,81920,20,0.01125686282820119,320645,physical,79829,27.477533102035522,fp32,NVIDIA RTX A4000
s4_concat,per_channel,A+B+C,4,46.214760959739294,3.4961036803751533,2.6080562918477517,0.9740091475203222,0.022669374316803468,0.010991929335581812,10.232754160949133,10.21053228048407,35.98200679879016,36.00422867925522,352.6185284979903,0.014806233605271205,0.007979005656732662,0.04009861058473625,0.06436075755175745,3.2174911499023438,81920,20,0.01908321755284812,320645,physical,79829,27.402205228805542,fp32,NVIDIA RTX A4000
