model,granularity,subset,bits,quantized,agg_mse,agg_mae,agg_r2,mse_x_entry,mse_y_entry,mse_n_x,mse_n_y,mse_n_z,rmse_x_entry,rmse_y_entry,rmse_n_x,rmse_n_y,rmse_n_z,mae_x_entry,mae_y_entry,mae_n_x,mae_n_y,mae_n_z,r2_x_entry,r2_y_entry,r2_n_x,r2_n_y,r2_n_z,delta_mae_x_entry,delta_mae_y_entry,delta_mae_n_x,delta_mae_n_y,delta_mae_n_z,delta_mse_x_entry,delta_mse_y_entry,delta_mse_n_x,delta_mse_n_y,delta_mse_n_z
s4_concat,per_channel,C,8,True,10.219402197595823,1.0142669782292484,0.9960706937503965,50.39183258613387,0.7037311821419857,0.0011868576502924884,4.310864412674361e-05,0.00021725340883219194,7.09872048936524,0.8388868708842604,0.03445080043035994,0.006565717335275987,0.014739518609242025,4.597001267614373,0.45190180449489203,0.01155737164565492,0.003009579869302501,0.007864867522019923,0.9992104349983256,0.9961570155063317,0.998567190382409,0.9901396645989257,0.9962791632659901,0.002901062161410728,0.000316423217810724,2.66200160865121e-05,-3.3438095466483027e-06,1.7268104876601298e-06,0.043960504818556956,0.0003885649754494791,2.6427777772490384e-07,-3.49309131926823e-08,2.8641788999851495e-07
s4_concat,per_channel,C,6,True,10.197292391044625,1.0121410598824858,0.9960625616800749,50.28154360132853,0.7034703856054467,0.0011881262621993532,4.335054437527758e-05,0.0002164914825735383,7.090948004415808,0.8387314144620116,0.03446920744953898,0.006584113028744083,0.01471364953278208,4.588026982974448,0.45021692772142097,0.01160661157564452,0.003028108412141555,0.007826668728773852,0.9992121630625377,0.9961584396823115,0.9985656588766377,0.9900843342207042,0.9962922125581832,-0.006073222478514495,-0.0013684535556603428,7.585994607611085e-05,1.5184733292405647e-05,-3.6471982758410834e-05,-0.0663284799867867,0.0001277684389104916,1.5328896845897243e-06,2.069693353412875e-07,-4.7550836865511287e-07
s4_concat,per_channel,C,4,True,10.40549245086248,1.0305146443042303,0.9960124137157885,51.29014805935838,0.7358309732346835,0.0012197160109907667,4.314892689113488e-05,0.00022035678145373189,7.16171404479112,0.8578059065048943,0.03492443286569972,0.00656878427801788,0.014844419202304006,4.653155157566124,0.4761733206704036,0.012377085536957572,0.00300889655738974,0.00785876119027724,0.9991963597321224,0.9959817227204646,0.9985275227986721,0.9901304506332391,0.996226012694445,0.05905495211316136,0.024587939393322267,0.0008463339073891633,-4.0271214594095675e-06,-4.37952125502232e-06,0.9422759780430638,0.03248835606814726,3.31226384760032e-05,5.351851198585097e-09,3.3897905115384624e-06
s4_concat,per_channel,C,2,True,43.774480623900104,2.4419421117122635,0.9918891799491754,217.6404870886128,1.2280821776306365,0.0030921791837587786,6.617121035706431e-05,0.0006755028629647735,14.752643393257115,1.108188692249942,0.055607366272453315,0.008134568848873572,0.02599043791406319,11.37169503383256,0.7747955304039587,0.03971589575136746,0.00445571175186919,0.019048386821561923,0.9965898975541562,0.9932936028907801,0.996267029940185,0.984864512878267,0.9884308564824886,6.777594828379598,0.32321014912687734,0.028185144121799052,0.001442788073020041,0.01118524611002966,167.29261500729746,0.5247395604641003,0.0019055858112440151,2.3027635317128023e-05,0.00045853587202258005
s4_concat,per_channel,A+B+C,8,True,10.158668523525964,1.0165362865971486,0.9960313422787564,50.074993170491204,0.7168957167304366,0.0011902608881370796,4.3451275882093837e-05,0.00022001824417197365,7.0763686429192765,0.8466969450343119,0.034500157798727234,0.0065917581783689425,0.01483301197235321,4.595246899521832,0.4645237815791396,0.011736852954428587,0.003072968367017302,0.008100930563325724,0.9992153994003111,0.9960851256944637,0.9985630818931446,0.9900612936806273,0.9962318107252357,0.0011466940688693583,0.012938400302058284,0.0002061013248601789,6.0044688168152654e-05,0.00023778985179346082,-0.27287891082411164,0.013553099563900384,3.667515622316061e-06,3.0770084215754465e-07,3.0512532297802253e-06
s4_concat,per_channel,A+B+C,6,True,19.215273019512175,1.5679019966559775,0.9949732370521094,95.24254350169336,0.8316935986410217,0.0017658744105253311,5.087744043676029e-05,0.0003112453755294139,9.75922863251463,0.9119723672573756,0.042022308486390075,0.007132842381320387,0.017642147701723107,7.254830402841216,0.550207417841001,0.019488866233670497,0.0036876459003000526,0.011295650463700287,0.9985076911245321,0.9954582293862093,0.9978681842441384,0.9883626906571295,0.9946693898485383,2.6607301973882533,0.09862203656391971,0.007958114604102088,0.0006747222214509032,0.0034325097521680243,44.894671420378046,0.12835098147448543,0.0005792810380105676,7.733865396824e-06,9.427838458722049e-05
s4_concat,per_channel,A+B+C,4,True,46.214760959739294,2.6080562918477517,0.9740091475203222,225.54253920465175,5.5261596128565404,0.0037005330103348773,0.0003199567521319215,0.0010854914257216967,15.018073751471983,2.3507785120798896,0.06083200646316771,0.01788733496449154,0.03294679689623404,11.2673646126043,1.7093153144867514,0.0299402284953202,0.010991929335581812,0.022669374316803468,0.9964660841607543,0.9698223608095584,0.9955326072287489,0.9268155852783612,0.9814091001241881,6.673264407151338,1.25772993320967,0.01840947686575179,0.007979005656732662,0.014806233605271205,175.19466712333644,4.822816995690005,0.0025139396378201138,0.0002768131770919852,0.0008685244347795033
s4_concat,per_channel,A+B+C,2,True,9737.894724253576,46.85151360950911,-2.8738711765913627,46847.75927720746,1840.7566162850012,0.7995216717620701,0.023196146016940974,0.13500995764201082,216.44343204913255,42.90403962664823,0.8941597574047213,0.1523028102726308,0.36743701180203775,191.76544106671244,41.27249091704877,0.8276849409525049,0.1304797263831678,0.2614713964486853,0.26596535125166665,-9.052132564978976,0.03479381837342488,-4.305705720339233,-1.312276767263696,187.17134086125947,40.820905535771686,0.8161541893229365,0.12746680270431865,0.253608255737153,46797.41140512614,1840.0532736678347,0.7983350783895553,0.02315300244190104,0.13479299065106862
s4_modulate_full,per_tensor,A,8,True,10.718956980097435,1.0808474797378018,0.9954917860346113,52.894502686877765,0.6984568258232021,0.0015062522935858978,5.015926235287009e-05,0.0002689762302693773,7.272860694862632,0.8357372947423144,0.038810466289209894,0.007082320407385569,0.016400494817821114,4.91830116362393,0.4588739077818459,0.014796303578747599,0.0033286288111209397,0.008937394893364727,0.9991712218834046,0.9961858180804701,0.9981816077334662,0.9885269611167624,0.9953933213589534,0.0604437541108922,0.01358038598035699,0.0004803089731459029,0.0001904636149830767,0.00010449208804418943,0.9485866192996752,0.021267553031468434,3.340635023142344e-05,2.288707039421018e-06,1.1047547220244735e-05
s4_modulate_full,per_tensor,A,6,True,12.5319171348203,1.2180774737658395,0.9949662171748713,61.85490531664535,0.802582023531283,0.0017462081126924313,5.5188132104743934e-05,0.0002969376800752344,7.864788955632907,0.8958694232594854,0.041787655027441195,0.007428871522966589,0.017231879760352158,5.525799078841459,0.5325686300808069,0.018869411641217453,0.003657931765771009,0.009492316499943618,0.9990308257129481,0.9956172039130912,0.9978919259798641,0.9873766966292967,0.9949144336391563,0.667941669328421,0.087275108279318,0.0045534170356157574,0.0005197665696331458,0.0006594136946230806,9.908989249067261,0.12539275073954936,0.00027336216933795694,7.317576791294859e-06,3.900899702610186e-05
